Timestamp_s,Latency_ms,Status
43.448,106.32,200
41.621,2168.59,200
43.800,108.76,200
41.938,2101.28,200
44.049,103.81,200
42.158,2192.64,200
44.361,106.50,200
42.482,2142.67,200
44.635,103.05,200
42.728,2198.04,200
44.936,107.21,200
43.039,2145.73,200
45.195,106.46,200
43.329,2181.96,200
45.521,105.29,200
43.565,2182.44,200
45.757,108.24,200
43.919,2131.74,200
46.060,111.71,200
44.163,2140.03,200
46.313,105.16,200
44.478,2102.97,200
46.591,107.29,200
44.748,2000.20,200
46.758,104.81,200
45.053,1834.88,200
46.898,105.39,200
45.311,1735.72,200
47.057,103.57,200
45.637,1525.99,200
47.173,100.25,200
45.878,1402.19,200
46.182,1200.68,200
47.291,101.35,200
47.402,100.49,200
46.429,1123.14,200
46.708,922.04,200
47.562,103.43,200
47.675,103.13,200
46.873,906.35,200
47.014,872.09,200
47.789,99.59,200
47.899,100.78,200
47.171,897.40,200
47.283,884.01,200
48.078,104.75,200
48.193,100.76,200
47.393,974.65,200
47.513,961.21,200
48.378,103.75,200
48.492,101.38,200
47.640,1049.40,200
47.789,978.98,200
48.700,105.77,200
48.816,102.70,200
47.896,1023.33,200
48.010,995.09,200
48.929,104.19,200
49.044,103.84,200
48.177,1040.33,200
48.304,1018.15,200
49.228,105.86,200
49.344,101.46,200
48.484,1009.67,200
48.603,993.76,200
49.504,106.43,200
49.620,101.50,200
48.778,1002.56,200
48.928,947.75,200
49.790,104.64,200
49.905,100.09,200
49.015,1046.57,200
49.158,980.70,200
50.072,104.22,200
50.186,104.30,200
49.332,1002.68,200
50.345,105.64,200
49.455,1001.69,200
50.467,102.75,200
49.607,1010.89,200
50.628,105.15,200
49.732,1006.26,200
50.748,101.06,200
49.886,1012.69,200
50.015,982.21,200
50.909,104.80,200
51.024,103.72,200
50.148,1028.24,200
50.300,962.29,200
51.187,104.19,200
51.301,99.54,200
50.461,988.05,200
50.580,948.63,200
51.459,105.76,200
50.743,891.47,200
51.575,100.62,200
50.859,918.56,200
51.685,100.33,200
51.007,882.18,200
51.796,100.97,200
51.907,100.10,200
51.138,927.91,200
51.273,888.92,200
52.076,103.61,200
52.190,101.27,200
51.411,923.97,200
51.539,860.36,200
52.345,101.22,200
52.456,101.58,200
51.645,914.28,200
51.788,869.84,200
52.569,101.07,200
52.680,102.58,200
51.900,930.27,200
52.017,894.22,200
52.840,106.70,200
52.957,100.66,200
52.172,950.05,200
52.301,916.68,200
53.132,105.72,200
53.248,101.71,200
52.409,947.21,200
52.568,879.93,200
53.366,100.81,200
53.477,103.70,200
52.668,962.76,200
52.793,928.26,200
53.641,103.91,200
53.755,101.30,200
52.921,983.38,200
53.068,942.92,200
53.915,103.21,200
54.028,102.24,200
53.228,945.99,200
54.184,104.80,200
53.360,930.80,200
54.301,101.80,200
53.458,993.11,200
54.461,107.57,200
53.593,1071.03,200
53.731,1009.84,200
54.674,104.71,200
54.789,100.23,200
53.866,1070.39,200
54.021,1025.47,200
54.947,103.06,200
54.140,1011.58,200
55.060,102.20,200
55.172,100.92,200
54.299,1028.26,200
54.412,998.66,200
55.337,105.54,200
55.453,102.11,200
54.578,1024.20,200
54.751,935.10,200
55.613,106.43,200
54.899,905.38,200
55.729,99.07,200
55.838,100.70,200
55.056,947.39,200
55.162,930.43,200
56.014,104.03,200
56.128,99.82,200
55.283,1023.51,200
56.317,103.73,200
55.421,1006.93,200
56.438,103.63,200
55.565,1066.79,200
55.696,981.39,200
56.642,104.88,200
56.757,101.01,200
55.814,1101.66,200
55.949,1032.78,200
56.926,105.45,200
57.042,103.18,200
56.103,1043.06,200
56.238,995.44,200
