source_path,duplicate_group_id,sha256,size,canonical_candidate,safe_to_archive,safe_to_delete,reason
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_round_robin/campaign_nlp_mobilebert_rr_c128.csv,DUP_GROUP_036,dc4f575b6ea573b8369fed86eb8673739b6966d00d4dacd04bde5ed32673d946,1288586,data/results/MobileBERT_SST2_round_robin/campaign_nlp_mobilebert_rr_c128.csv,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_round_robin/campaign_nlp_mobilebert_rr_c128.csv
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_round_robin/campaign_nlp_mobilebert_rr_c32.csv,DUP_GROUP_037,68a9b7df3b79285f80f7c6f9ec38359b17a2306d4a892a6372d2efb37b81c43f,1084239,data/results/MobileBERT_SST2_round_robin/campaign_nlp_mobilebert_rr_c32.csv,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_round_robin/campaign_nlp_mobilebert_rr_c32.csv
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_round_robin/campaign_nlp_mobilebert_rr_c48.csv,DUP_GROUP_038,6ac1b3a0c65cb58dc120d8335287fa4f8e48ba981c8c19df5cbe1c320f978c0b,1169156,data/results/MobileBERT_SST2_round_robin/campaign_nlp_mobilebert_rr_c48.csv,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_round_robin/campaign_nlp_mobilebert_rr_c48.csv
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_round_robin/campaign_nlp_mobilebert_rr_c64.csv,DUP_GROUP_039,a65c1e3196d6e7ba6ab56b9576c25ccbe0533eef67f2772c0ef3592295ca8141,1208038,data/results/MobileBERT_SST2_round_robin/campaign_nlp_mobilebert_rr_c64.csv,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_round_robin/campaign_nlp_mobilebert_rr_c64.csv
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_round_robin/campaign_nlp_mobilebert_rr_c96.csv,DUP_GROUP_040,358c92cfdf7f5890a9448e45ecb33a0d09359030503e26de53b9ec1848e80e35,1247043,data/results/MobileBERT_SST2_round_robin/campaign_nlp_mobilebert_rr_c96.csv,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_round_robin/campaign_nlp_mobilebert_rr_c96.csv
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_round_robin/README_PRODUCTION_DATA.txt,DUP_GROUP_041,7f91914ba7bf7f182aef9fe2aedc95ae837b7cf072c42ccabfc859b1e98cc5e5,1676,data/results/MobileBERT_SST2_round_robin/README_PRODUCTION_DATA.txt,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_round_robin/README_PRODUCTION_DATA.txt
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_round_robin/summary_mobilebert_rr.csv,DUP_GROUP_042,4478624d26cc1b1ece5dc5d45ba27c3837620132478963938bd6602038ce5366,417,data/results/MobileBERT_SST2_round_robin/summary_mobilebert_rr.csv,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_round_robin/summary_mobilebert_rr.csv
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_tri_cb/benchmark_mobilebert_tricb.json,DUP_GROUP_043,d851807d73e35f10c342a89d9c04be43819c263eab9ee939a6becb50029ac6ea,86,data/results/MobileBERT_SST2_tri_cb/benchmark_mobilebert_tricb.json,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_tri_cb/benchmark_mobilebert_tricb.json
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_tri_cb/campaign_nlp_mobilebert_tricb_c128.csv,DUP_GROUP_044,a7ac0758e689d0e3caa1741b11529e1cf626e825cdc63f58ba1c72da91cdbb5c,9976064,data/results/MobileBERT_SST2_tri_cb/campaign_nlp_mobilebert_tricb_c128.csv,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_tri_cb/campaign_nlp_mobilebert_tricb_c128.csv
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_tri_cb/campaign_nlp_mobilebert_tricb_c32.csv,DUP_GROUP_045,9e932cbd41421ea8009a67dd8a34895e156f8d840447d7674b35f50a3ccd704e,5678535,data/results/MobileBERT_SST2_tri_cb/campaign_nlp_mobilebert_tricb_c32.csv,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_tri_cb/campaign_nlp_mobilebert_tricb_c32.csv
